Channel ID,Channel URL,Channel title
UCYVU6rModlGxvJbszCclGGw,https://www.youtube.com/channel/UCYVU6rModlGxvJbszCclGGw,Rob Braxman Tech
UCZpkfpfGe2ZC3AIQ69ERCJw,https://www.youtube.com/channel/UCZpkfpfGe2ZC3AIQ69ERCJw,Ferdy Korpershoek
UC__30JYiNF-kg0FL5eQicEA,https://www.youtube.com/channel/UC__30JYiNF-kg0FL5eQicEA,Tech Zambo
UC_n6DdR6FClpCbWnNM7Zp6A,https://www.youtube.com/channel/UC_n6DdR6FClpCbWnNM7Zp6A,SpaceRex
UC_us_hH43AJtU_A-iXCLmqw,https://www.youtube.com/channel/UC_us_hH43AJtU_A-iXCLmqw,TechLead Show
UCaSM4GqhbaVmRT7fmmFmR1w,https://www.youtube.com/channel/UCaSM4GqhbaVmRT7fmmFmR1w,TechGumbo
UCbfg3_hFrOxuEtYMRGsp1ig,https://www.youtube.com/channel/UCbfg3_hFrOxuEtYMRGsp1ig,myTerminal
UCbiGcwDWZjz05njNPrJU7jA,https://www.youtube.com/channel/UCbiGcwDWZjz05njNPrJU7jA,ExplainingComputers
UCc6MhFTqnuIpEGgLBm_jwtw,https://www.youtube.com/channel/UCc6MhFTqnuIpEGgLBm_jwtw,Nerd on the Street
UCcqoUM4UUvc9cFK-jR5Nx9A,https://www.youtube.com/channel/UCcqoUM4UUvc9cFK-jR5Nx9A,Eric Adams
UCd4XwUn2Lure2NHHjukoCwA,https://www.youtube.com/channel/UCd4XwUn2Lure2NHHjukoCwA,Linux For Everyone
UCg6gPGh8HU2U01vaFCAsvmQ,https://www.youtube.com/channel/UCg6gPGh8HU2U01vaFCAsvmQ,Chris Titus Tech
UCgTNupxATBfWmfehv21ym-g,https://www.youtube.com/channel/UCgTNupxATBfWmfehv21ym-g,Null Byte
UCjSEJkpGbcZhvo0lr-44X_w,https://www.youtube.com/channel/UCjSEJkpGbcZhvo0lr-44X_w,TechHut
UCjr2bPAyPV7t35MvcgT3W8Q,https://www.youtube.com/channel/UCjr2bPAyPV7t35MvcgT3W8Q,The Hated One
UCld68syR8Wi-GY_n4CaoJGA,https://www.youtube.com/channel/UCld68syR8Wi-GY_n4CaoJGA,Brodie Robertson
UClt9lKNq32cXigDXra0irOg,https://www.youtube.com/channel/UClt9lKNq32cXigDXra0irOg,The Kwak Brothers
UCm8YtCql37I6mt13e-_9Uzg,https://www.youtube.com/channel/UCm8YtCql37I6mt13e-_9Uzg,2D3D .gratis
UCoryWpk4QVYKFCJul9KBdyw,https://www.youtube.com/channel/UCoryWpk4QVYKFCJul9KBdyw,Switched to Linux
UCrjKdwxaQMSV_NDywgKXVmw,https://www.youtube.com/channel/UCrjKdwxaQMSV_NDywgKXVmw,Novaspirit Tech
UCs6KfncB4OV6Vug4o_bzijg,https://www.youtube.com/channel/UCs6KfncB4OV6Vug4o_bzijg,Techlore
UCsnGwSIHyoYN0kiINAGUKxg,https://www.youtube.com/channel/UCsnGwSIHyoYN0kiINAGUKxg,Wolfgang's Channel
UCtgVAiIN5UbRYjrrO1L-Jlw,https://www.youtube.com/channel/UCtgVAiIN5UbRYjrrO1L-Jlw,Cursus Gimp van Mariel
UCu7_D0o48KbfhpEohoP7YSQ,https://www.youtube.com/channel/UCu7_D0o48KbfhpEohoP7YSQ,Andreas Spiess
UCv1Kcz-CuGM6mxzL3B1_Eiw,https://www.youtube.com/channel/UCv1Kcz-CuGM6mxzL3B1_Eiw,Gardiner Bryant
UCvA_wgsX6eFAOXI8Rbg_WiQ,https://www.youtube.com/channel/UCvA_wgsX6eFAOXI8Rbg_WiQ,tutoriaLinux
UCx-ljiKQcLSd8_4AFi_yaIw,https://www.youtube.com/channel/UCx-ljiKQcLSd8_4AFi_yaIw,TJ FREE
UCxQKHvKbmSzGMvUrVtJYnUA,https://www.youtube.com/channel/UCxQKHvKbmSzGMvUrVtJYnUA,LearnLinuxTV
UCylGUf9BvQooEFjgdNudoQg,https://www.youtube.com/channel/UCylGUf9BvQooEFjgdNudoQg,The Linux Cast
UCymYq4Piq0BrhnM18aQzTlg,https://www.youtube.com/channel/UCymYq4Piq0BrhnM18aQzTlg,Lon.TV
UC37F_tXmKICZtIt-wigHQlw,https://www.youtube.com/channel/UC37F_tXmKICZtIt-wigHQlw,Nia Interactive
UCV1aV4N16aXm0Za8puRYzcw,https://www.youtube.com/channel/UCV1aV4N16aXm0Za8puRYzcw,Crazy-Logic
UCVS6ejD9NLZvjsvhcbiDzjw,https://www.youtube.com/channel/UCVS6ejD9NLZvjsvhcbiDzjw,Crosstalk Solutions
UCrUL8K81R4VBzm-KOYwrcxQ,https://www.youtube.com/channel/UCrUL8K81R4VBzm-KOYwrcxQ,Engineer Man
UC4m4jfyM0VrEdNkf7ZtRx9g,https://www.youtube.com/channel/UC4m4jfyM0VrEdNkf7ZtRx9g,CodingBite
UC-8Ba047kFinfgp3sO53qcA,https://www.youtube.com/channel/UC-8Ba047kFinfgp3sO53qcA,ITProTV
UCF7mgyZoxwkGZeqyVjGRCkQ,https://www.youtube.com/channel/UCF7mgyZoxwkGZeqyVjGRCkQ,How to Work For Yourself
UCy2fd0oDokWeTbx5kCx9Llw,https://www.youtube.com/channel/UCy2fd0oDokWeTbx5kCx9Llw,Forgotten Tools Restoration
UCkpkIuNqKPC1-9_zT8hU0HA,https://www.youtube.com/channel/UCkpkIuNqKPC1-9_zT8hU0HA,Advexon Science Network
UC2gyzKcHbYfqoXA5xbyGXtQ,https://www.youtube.com/channel/UC2gyzKcHbYfqoXA5xbyGXtQ,The Hook Up
UC4q_y-THCZZmnSQ8vrej0Pg,https://www.youtube.com/channel/UC4q_y-THCZZmnSQ8vrej0Pg,Tech Stoney
UCFO2tMLUT5likWydxFeffvQ,https://www.youtube.com/channel/UCFO2tMLUT5likWydxFeffvQ,CyberGuyLinux
UCP2bshADPrVMoNrdJvZEQzw,https://www.youtube.com/channel/UCP2bshADPrVMoNrdJvZEQzw,KeepItTechie
UC6n-Dwza0jWP01t29k3sQJA,https://www.youtube.com/channel/UC6n-Dwza0jWP01t29k3sQJA,Pro Tech Show
UCBLHhOS9kpixWuLmBP6oIjQ,https://www.youtube.com/channel/UCBLHhOS9kpixWuLmBP6oIjQ,Category5 Technology TV
UCy2wVPPOIttCsFCsGymAWoA,https://www.youtube.com/channel/UCy2wVPPOIttCsFCsGymAWoA,HPCNow!
UC2eYFnH61tmytImy1mTYvhA,https://www.youtube.com/channel/UC2eYFnH61tmytImy1mTYvhA,Luke Smith
UChkws8rD7PNNITF17q1wOCw,https://www.youtube.com/channel/UChkws8rD7PNNITF17q1wOCw,Linux TV
UCZNhwA1B5YqiY1nLzmM0ZRg,https://www.youtube.com/channel/UCZNhwA1B5YqiY1nLzmM0ZRg,The Digital Life
UCXa6sE6cKXcQ97vI0Emn1XA,https://www.youtube.com/channel/UCXa6sE6cKXcQ97vI0Emn1XA,Egee
UCMyAVYPgP_179gj9OIJZd4A,https://www.youtube.com/channel/UCMyAVYPgP_179gj9OIJZd4A,NixiePixel
UCG0iJciJOXbrrJ5I8-oEcQQ,https://www.youtube.com/channel/UCG0iJciJOXbrrJ5I8-oEcQQ,Geekoutdoors
UCBE-FO9JUOghSysV9gjTeHw,https://www.youtube.com/channel/UCBE-FO9JUOghSysV9gjTeHw,NixieDoesLinux
UCuwTZeFtTow_hhlWPOPOLvQ,https://www.youtube.com/channel/UCuwTZeFtTow_hhlWPOPOLvQ,Daily Tech Learning- Learning everday
UC9-y-6csu5WGm29I7JiwpnA,https://www.youtube.com/channel/UC9-y-6csu5WGm29I7JiwpnA,Computerphile
UCP7WmQ_U4GB3K51Od9QvM0w,https://www.youtube.com/channel/UCP7WmQ_U4GB3K51Od9QvM0w,David Bombal
UCxrN_J1dBX4ir-3xF8u3fUQ,https://www.youtube.com/channel/UCxrN_J1dBX4ir-3xF8u3fUQ,Herbertech
UCAiiOTio8Yu69c3XnR7nQBQ,https://www.youtube.com/channel/UCAiiOTio8Yu69c3XnR7nQBQ,System Crafters
UCb7xZQi7F3RW7BNtR57cNnA,https://www.youtube.com/channel/UCb7xZQi7F3RW7BNtR57cNnA,Reel Truth History Documentaries
UCbfmzSve4we-jF8DSBTBlfA,https://www.youtube.com/channel/UCbfmzSve4we-jF8DSBTBlfA,Rocky Linux
UCwvONobwm8BsZNO87hyvAiA,https://www.youtube.com/channel/UCwvONobwm8BsZNO87hyvAiA,Desktop Monologues
UCV_OrwHDqXdz7JuxjROhetA,https://www.youtube.com/channel/UCV_OrwHDqXdz7JuxjROhetA,45Drives
UC5WE_bClugxSVG1ENir8qzg,https://www.youtube.com/channel/UC5WE_bClugxSVG1ENir8qzg,hazards and catastrophes
UCV5fWQz8tWky_STVOQK8kGg,https://www.youtube.com/channel/UCV5fWQz8tWky_STVOQK8kGg,ehacking
UCBo3ZtPFlHzYFOjzorQ_P2A,https://www.youtube.com/channel/UCBo3ZtPFlHzYFOjzorQ_P2A,gnu4freedoms
UC35Zmd3RFcrDKPAPYpFSe1g,https://www.youtube.com/channel/UC35Zmd3RFcrDKPAPYpFSe1g,PhasedLogix IT Services
UCIaiAJKGrdkVXD26ycTFPzQ,https://www.youtube.com/channel/UCIaiAJKGrdkVXD26ycTFPzQ,Jonathan Thomas
UC8q2GgxOUS_Dzd5KIYeJQIw,https://www.youtube.com/channel/UC8q2GgxOUS_Dzd5KIYeJQIw,Black Beard Projects

